=== RHYMES ===
ABAB, Presence: 19.81 %
XXXX, Presence: 13.88 %
XAXA, Presence: 10.29 %
AABB, Presence: 8.54 %
XXXXXX, Presence: 8.45 %
ABBA, Presence: 4.39 %
AAXX, Presence: 3.73 %
AABBCC, Presence: 3.67 %
ABABCC, Presence: 2.85 %
ABABXX, Presence: 2.67 %
AABCCB, Presence: 1.86 %
XXAA, Presence: 1.83 %
XAAX, Presence: 1.65 %
AXAX, Presence: 1.49 %
XAXAXX, Presence: 1.23 %
XXABAB, Presence: 0.73 %
ABBACC, Presence: 0.70 %
AXAA, Presence: 0.68 %
XAABBX, Presence: 0.67 %
AABCBC, Presence: 0.63 %
AABBXX, Presence: 0.63 %
ABBAXX, Presence: 0.55 %
ABABAB, Presence: 0.52 %
AAXA, Presence: 0.49 %
AXXA, Presence: 0.46 %
XAXABB, Presence: 0.39 %
XXAABB, Presence: 0.35 %
XXAAXX, Presence: 0.28 %
ABABAX, Presence: 0.28 %
XXABBA, Presence: 0.27 %
AAXBBX, Presence: 0.27 %
XXXAXA, Presence: 0.27 %
AAAX, Presence: 0.25 %
XABABX, Presence: 0.23 %
XABBAX, Presence: 0.19 %
AAXXBB, Presence: 0.18 %
AXABBX, Presence: 0.15 %
ABABBX, Presence: 0.14 %
XAAXBB, Presence: 0.14 %
AAAA, Presence: 0.13 %
XAAA, Presence: 0.12 %
XAABXB, Presence: 0.12 %
AXABXB, Presence: 0.11 %
AXAXBB, Presence: 0.11 %
ABCABC, Presence: 0.10 %
ABACCB, Presence: 0.10 %
AAXBXB, Presence: 0.10 %
XXAXAX, Presence: 0.10 %
XAXAXA, Presence: 0.10 %
AXAXXX, Presence: 0.10 %
ABACBC, Presence: 0.09 %
ABABXB, Presence: 0.09 %
XXXXAA, Presence: 0.08 %
AABXBX, Presence: 0.08 %
XXXAAX, Presence: 0.08 %
ABAABX, Presence: 0.07 %
AAXXXX, Presence: 0.07 %
ABAXXB, Presence: 0.07 %
XAAXXX, Presence: 0.07 %
AAABBX, Presence: 0.06 %
ABBAAB, Presence: 0.06 %
ABCCAB, Presence: 0.06 %
ABBAAX, Presence: 0.05 %
AAAXBB, Presence: 0.05 %
AABBAA, Presence: 0.05 %
AABBBX, Presence: 0.05 %
ABBCCA, Presence: 0.05 %
XXAXXA, Presence: 0.05 %
AABBAX, Presence: 0.05 %
AABXXB, Presence: 0.04 %
ABBCAC, Presence: 0.04 %
AXXAXX, Presence: 0.04 %
AAXBBB, Presence: 0.04 %
XABBXA, Presence: 0.04 %
AXXABB, Presence: 0.03 %
ABABAA, Presence: 0.03 %
ABCBAC, Presence: 0.03 %
AABBXB, Presence: 0.03 %
ABXABX, Presence: 0.03 %
ABAXBX, Presence: 0.03 %
ABABBA, Presence: 0.03 %
AABAAB, Presence: 0.03 %
AXBBAX, Presence: 0.03 %
AAXAXA, Presence: 0.03 %
XABAXB, Presence: 0.03 %
ABCCBA, Presence: 0.03 %
AAAABB, Presence: 0.03 %
ABBABX, Presence: 0.02 %
ABCACB, Presence: 0.02 %
ABBXAX, Presence: 0.02 %
XAXXXA, Presence: 0.02 %
AXBABX, Presence: 0.02 %
XAXXAX, Presence: 0.02 %
XABXAB, Presence: 0.02 %
AXAXAX, Presence: 0.02 %
AABABX, Presence: 0.02 %
AXAABB, Presence: 0.02 %
AABBBB, Presence: 0.02 %
XAAABB, Presence: 0.02 %
ABCBCA, Presence: 0.02 %
ABABXA, Presence: 0.02 %
XAABBB, Presence: 0.02 %
ABAABB, Presence: 0.02 %
ABXBAX, Presence: 0.02 %
XABBAA, Presence: 0.02 %
AAXABB, Presence: 0.02 %
ABAABA, Presence: 0.02 %
ABXXAB, Presence: 0.02 %
AAABBB, Presence: 0.02 %
ABAAAB, Presence: 0.02 %
ABAAXB, Presence: 0.02 %
XAXBAB, Presence: 0.02 %
ABBABA, Presence: 0.02 %
ABBAXA, Presence: 0.02 %
AXBAXB, Presence: 0.01 %
AAABAB, Presence: 0.01 %
AABBAB, Presence: 0.01 %
XABABA, Presence: 0.01 %
XXAAAX, Presence: 0.01 %
XAXAAX, Presence: 0.01 %
XAABBA, Presence: 0.01 %
XAXBBA, Presence: 0.01 %
AAXAXX, Presence: 0.01 %
ABBAXB, Presence: 0.01 %
AXXXAX, Presence: 0.01 %
XABABB, Presence: 0.01 %
AABBBA, Presence: 0.01 %
XABBBA, Presence: 0.01 %
AAAAAA, Presence: 0.01 %
AXAAXX, Presence: 0.01 %
AABBXA, Presence: 0.01 %
XXAAXA, Presence: 0.01 %
AABABB, Presence: 0.01 %
AAABXB, Presence: 0.01 %
AXABAB, Presence: 0.01 %
XXAXAA, Presence: 0.01 %
ABABBB, Presence: 0.01 %
AABXBB, Presence: 0.01 %
ABBAAA, Presence: 0.01 %
XAAAXX, Presence: 0.01 %
AXABBA, Presence: 0.01 %
XABXBA, Presence: 0.01 %
ABXBAA, Presence: 0.01 %
ABXAXB, Presence: 0.01 %
XABAAB, Presence: 0.01 %
AAXBBA, Presence: 0.01 %
AXXBAB, Presence: 0.01 %
AABABA, Presence: 0.01 %
AXABBB, Presence: 0.01 %
AAABBA, Presence: 0.01 %
AAAXXX, Presence: 0.01 %
ABBABB, Presence: 0.01 %
ABBBAX, Presence: 0.01 %
ABBXAA, Presence: 0.01 %
